scan_date,org_name,total_scans,new_leads,avg_confidence,avg_processing_time,conversion_rate_pct,rolling_7d_avg_scans,scans_wow_growth_pct,is_slow_processing,day_of_week,day_of_week_num,week_number,year_month
2026-04-29,Apex Solutions,8,6,0.9585,886.21,75.0,12.857142857142858,-33.333333333333336,False,Wednesday,2,18,2026-04
2026-04-30,Apex Solutions,26,15,0.9243,1566.57,57.692307692307686,14.0,44.44444444444444,True,Thursday,3,18,2026-04
2026-05-01,Apex Solutions,16,11,0.8182,1203.7,68.75,15.0,77.77777777777777,False,Friday,4,18,2026-05
2026-05-02,Apex Solutions,14,7,0.8303,1412.44,50.0,15.714285714285714,55.55555555555556,True,Saturday,5,18,2026-05
2026-05-03,Apex Solutions,8,5,0.9844,1302.48,62.5,15.571428571428571,-11.111111111111116,True,Sunday,6,18,2026-05
2026-05-04,Apex Solutions,27,21,0.8918,517.8,77.77777777777779,17.428571428571427,92.85714285714286,False,Monday,0,19,2026-05
2026-05-05,Apex Solutions,19,11,0.8584,1041.48,57.89473684210527,16.857142857142858,-17.391304347826086,False,Tuesday,1,19,2026-05
2026-04-06,Arcadia Capital,92,69,0.7985,767.41,75.0,92.0,,False,Monday,0,15,2026-04
2026-04-07,Arcadia Capital,72,60,0.7963,932.49,83.33333333333334,82.0,,False,Tuesday,1,15,2026-04
2026-04-08,Arcadia Capital,74,62,0.862,970.19,83.78378378378379,79.33333333333333,,False,Wednesday,2,15,2026-04
2026-04-09,Arcadia Capital,71,54,0.7294,952.91,76.05633802816901,77.25,,False,Thursday,3,15,2026-04
2026-04-10,Arcadia Capital,101,49,0.6717,1570.46,48.51485148514851,82.0,,True,Friday,4,15,2026-04
2026-04-11,Arcadia Capital,53,26,0.8952,1512.83,49.056603773584904,77.16666666666667,,True,Saturday,5,15,2026-04
2026-04-12,Arcadia Capital,47,39,0.7878,521.01,82.97872340425532,72.85714285714286,,False,Sunday,6,15,2026-04
2026-04-13,Arcadia Capital,51,23,0.929,625.14,45.09803921568628,67.0,-44.565217391304344,False,Monday,0,16,2026-04
2026-04-14,Arcadia Capital,107,56,0.6531,1227.27,52.336448598130836,72.0,48.611111111111114,False,Tuesday,1,16,2026-04
2026-04-15,Arcadia Capital,73,50,0.7799,1196.58,68.4931506849315,71.85714285714286,-1.3513513513513487,False,Wednesday,2,16,2026-04
2026-04-16,Arcadia Capital,171,147,0.8769,926.68,85.96491228070175,86.14285714285714,140.8450704225352,False,Thursday,3,16,2026-04
2026-04-17,Arcadia Capital,131,109,0.8191,1539.66,83.20610687022901,90.42857142857143,29.702970297029708,True,Friday,4,16,2026-04
2026-04-18,Arcadia Capital,77,50,0.9139,1749.22,64.93506493506493,93.85714285714286,45.28301886792452,True,Saturday,5,16,2026-04
2026-04-19,Arcadia Capital,27,17,0.8952,1673.44,62.96296296296296,91.0,-42.553191489361694,True,Sunday,6,16,2026-04
2026-04-20,Arcadia Capital,133,87,0.8013,763.63,65.41353383458647,102.71428571428571,160.7843137254902,False,Monday,0,17,2026-04
2026-04-21,Arcadia Capital,109,99,0.6731,558.94,90.82568807339449,103.0,1.869158878504673,False,Tuesday,1,17,2026-04
2026-04-22,Arcadia Capital,92,61,0.8303,485.48,66.30434782608695,105.71428571428571,26.027397260273965,False,Wednesday,2,17,2026-04
2026-04-23,Arcadia Capital,72,54,0.8168,1558.31,75.0,91.57142857142857,-57.89473684210527,True,Thursday,3,17,2026-04
2026-04-24,Arcadia Capital,70,43,0.7855,325.41,61.42857142857143,82.85714285714286,-46.56488549618321,False,Friday,4,17,2026-04
2026-04-25,Arcadia Capital,53,33,0.8817,1496.02,62.264150943396224,79.42857142857143,-31.16883116883117,True,Saturday,5,17,2026-04
2026-04-26,Arcadia Capital,40,28,0.7442,831.66,70.0,81.28571428571429,48.14814814814814,False,Sunday,6,17,2026-04
2026-04-27,Arcadia Capital,104,79,0.7993,703.91,75.96153846153845,77.14285714285714,-21.80451127819549,False,Monday,0,18,2026-04
2026-04-28,Arcadia Capital,56,32,0.9197,966.88,57.14285714285714,69.57142857142857,-48.62385321100917,False,Tuesday,1,18,2026-04
2026-04-29,Arcadia Capital,127,100,0.9518,819.78,78.74015748031496,74.57142857142857,38.043478260869556,False,Wednesday,2,18,2026-04
2026-04-30,Arcadia Capital,91,82,0.8555,1704.3,90.10989010989012,77.28571428571429,26.388888888888886,True,Thursday,3,18,2026-04
2026-05-01,Arcadia Capital,126,73,0.979,573.74,57.936507936507944,85.28571428571429,80.0,False,Friday,4,18,2026-05
2026-05-02,Arcadia Capital,51,43,0.7606,1468.21,84.31372549019608,85.0,-3.7735849056603765,True,Saturday,5,18,2026-05
2026-05-03,Arcadia Capital,61,41,0.7743,903.4,67.21311475409836,88.0,52.49999999999999,False,Sunday,6,18,2026-05
2026-05-04,Arcadia Capital,58,48,0.6979,1164.01,82.75862068965517,81.42857142857143,-44.230769230769226,False,Monday,0,19,2026-05
2026-05-05,Arcadia Capital,53,44,0.7019,1303.5,83.01886792452831,81.0,-5.35714285714286,True,Tuesday,1,19,2026-05
2026-04-06,BluePeak Ventures,151,99,0.9328,1393.43,65.56291390728477,151.0,,True,Monday,0,15,2026-04
2026-04-07,BluePeak Ventures,144,65,0.686,957.48,45.13888888888889,147.5,,False,Tuesday,1,15,2026-04
2026-04-08,BluePeak Ventures,265,138,0.7862,1234.19,52.075471698113205,186.66666666666666,,False,Wednesday,2,15,2026-04
2026-04-09,BluePeak Ventures,69,58,0.977,340.8,84.05797101449275,157.25,,False,Thursday,3,15,2026-04
2026-04-10,BluePeak Ventures,146,110,0.864,563.66,75.34246575342466,155.0,,False,Friday,4,15,2026-04
2026-04-11,BluePeak Ventures,87,49,0.7774,463.2,56.32183908045977,143.66666666666666,,False,Saturday,5,15,2026-04
2026-04-12,BluePeak Ventures,87,79,0.708,320.85,90.80459770114942,135.57142857142858,,False,Sunday,6,15,2026-04
2026-04-13,BluePeak Ventures,155,103,0.7674,1478.81,66.45161290322581,136.14285714285714,2.6490066225165476,True,Monday,0,16,2026-04
2026-04-14,BluePeak Ventures,296,260,0.9335,523.52,87.83783783783784,157.85714285714286,105.55555555555554,False,Tuesday,1,16,2026-04
2026-04-15,BluePeak Ventures,267,226,0.8755,1404.96,84.6441947565543,158.14285714285714,0.7547169811320753,True,Wednesday,2,16,2026-04
2026-04-16,BluePeak Ventures,265,240,0.8901,1622.71,90.56603773584906,186.14285714285714,284.05797101449275,True,Thursday,3,16,2026-04
2026-04-17,BluePeak Ventures,210,174,0.7828,629.19,82.85714285714286,195.28571428571428,43.83561643835616,False,Friday,4,16,2026-04
2026-04-18,BluePeak Ventures,135,62,0.9161,1438.22,45.925925925925924,202.14285714285714,55.172413793103445,True,Saturday,5,16,2026-04
2026-04-19,BluePeak Ventures,100,65,0.6996,189.75,65.0,204.0,14.942528735632177,False,Sunday,6,16,2026-04
2026-04-20,BluePeak Ventures,244,198,0.9601,1611.95,81.14754098360656,216.71428571428572,57.41935483870968,True,Monday,0,17,2026-04
2026-04-21,BluePeak Ventures,227,118,0.6881,719.59,51.98237885462555,206.85714285714286,-23.31081081081081,False,Tuesday,1,17,2026-04
2026-04-22,BluePeak Ventures,185,164,0.9874,466.9,88.64864864864866,195.14285714285714,-30.711610486891384,False,Wednesday,2,17,2026-04
2026-04-23,BluePeak Ventures,228,168,0.677,1402.82,73.68421052631578,189.85714285714286,-13.962264150943394,True,Thursday,3,17,2026-04
2026-04-24,BluePeak Ventures,181,125,0.8121,192.85,69.06077348066299,185.71428571428572,-13.809523809523805,False,Friday,4,17,2026-04
2026-04-25,BluePeak Ventures,127,103,0.9614,811.56,81.10236220472441,184.57142857142858,-5.925925925925924,False,Saturday,5,17,2026-04
2026-04-26,BluePeak Ventures,130,114,0.8995,1027.88,87.6923076923077,188.85714285714286,30.000000000000004,False,Sunday,6,17,2026-04
2026-04-27,BluePeak Ventures,221,195,0.933,1352.68,88.23529411764706,185.57142857142858,-9.426229508196727,True,Monday,0,18,2026-04
2026-04-28,BluePeak Ventures,235,213,0.8588,615.52,90.63829787234042,186.71428571428572,3.524229074889873,False,Tuesday,1,18,2026-04
2026-04-29,BluePeak Ventures,233,181,0.8403,448.27,77.6824034334764,193.57142857142858,25.945945945945947,False,Wednesday,2,18,2026-04
2026-04-30,BluePeak Ventures,98,48,0.9625,1334.24,48.97959183673469,175.0,-57.01754385964912,True,Thursday,3,18,2026-04
2026-05-01,BluePeak Ventures,238,111,0.8199,1465.86,46.63865546218487,183.14285714285714,31.491712707182316,True,Friday,4,18,2026-05
2026-05-02,BluePeak Ventures,145,91,0.6511,1600.83,62.758620689655174,185.71428571428572,14.173228346456689,True,Saturday,5,18,2026-05
2026-05-03,BluePeak Ventures,56,45,0.7796,1527.8,80.35714285714286,175.14285714285714,-56.92307692307692,True,Sunday,6,18,2026-05
2026-05-04,BluePeak Ventures,105,76,0.8071,189.88,72.38095238095238,158.57142857142858,-52.488687782805435,False,Monday,0,19,2026-05
2026-05-05,BluePeak Ventures,120,99,0.81,170.81,82.5,142.14285714285714,-48.93617021276596,False,Tuesday,1,19,2026-05
2026-04-06,Bridgepoint Co,15,9,0.6555,195.94,60.0,15.0,,False,Monday,0,15,2026-04
2026-04-07,Bridgepoint Co,11,9,0.8285,728.16,81.81818181818183,13.0,,False,Tuesday,1,15,2026-04
2026-04-08,Bridgepoint Co,2,1,0.8697,550.93,50.0,9.333333333333334,,False,Wednesday,2,15,2026-04
2026-04-10,Bridgepoint Co,8,4,0.98,220.93,50.0,9.0,,False,Friday,4,15,2026-04
2026-04-11,Bridgepoint Co,3,2,0.9094,1144.79,66.66666666666666,7.8,,False,Saturday,5,15,2026-04
2026-04-12,Bridgepoint Co,7,3,0.926,1428.51,42.857142857142854,7.666666666666667,,True,Sunday,6,15,2026-04
2026-04-13,Bridgepoint Co,9,6,0.9158,294.8,66.66666666666666,7.857142857142857,,False,Monday,0,16,2026-04
2026-04-15,Bridgepoint Co,9,4,0.7341,911.83,44.44444444444444,7.0,-40.0,False,Wednesday,2,16,2026-04
2026-04-16,Bridgepoint Co,11,5,0.9287,580.12,45.45454545454545,7.0,0.0,False,Thursday,3,16,2026-04
2026-04-17,Bridgepoint Co,9,5,0.8376,293.75,55.55555555555556,8.0,350.0,False,Friday,4,16,2026-04
2026-04-18,Bridgepoint Co,5,4,0.7919,102.49,80.0,7.571428571428571,-37.5,False,Saturday,5,16,2026-04
2026-04-20,Bridgepoint Co,12,6,0.7827,708.18,50.0,8.857142857142858,300.0,False,Monday,0,17,2026-04
2026-04-21,Bridgepoint Co,6,3,0.7227,279.6,50.0,8.714285714285714,-14.28571428571429,False,Tuesday,1,17,2026-04
2026-04-23,Bridgepoint Co,9,4,0.8051,98.06,44.44444444444444,8.714285714285714,0.0,False,Thursday,3,17,2026-04
2026-04-25,Bridgepoint Co,3,1,0.7766,963.71,33.33333333333333,7.857142857142857,-66.66666666666667,False,Saturday,5,17,2026-04
2026-04-26,Bridgepoint Co,3,1,0.8272,1409.06,33.33333333333333,6.714285714285714,-72.72727272727273,True,Sunday,6,17,2026-04
2026-04-27,Bridgepoint Co,7,6,0.77,1422.39,85.71428571428571,6.428571428571429,-22.22222222222222,True,Monday,0,18,2026-04
2026-04-28,Bridgepoint Co,7,3,0.7846,250.07,42.857142857142854,6.714285714285714,39.99999999999999,False,Tuesday,1,18,2026-04
2026-04-29,Bridgepoint Co,5,4,0.7178,971.0,80.0,5.714285714285714,-58.33333333333333,False,Wednesday,2,18,2026-04
2026-04-30,Bridgepoint Co,10,7,0.8668,296.26,70.0,6.285714285714286,66.66666666666667,False,Thursday,3,18,2026-04
2026-05-01,Bridgepoint Co,9,5,0.8294,256.32,55.55555555555556,6.285714285714286,0.0,False,Friday,4,18,2026-05
2026-05-02,Bridgepoint Co,4,1,0.7332,903.55,25.0,6.428571428571429,33.33333333333333,False,Saturday,5,18,2026-05
2026-05-04,Bridgepoint Co,9,7,0.9412,1597.68,77.77777777777779,7.285714285714286,200.0,True,Monday,0,19,2026-05
2026-05-05,Bridgepoint Co,6,4,0.987,584.54,66.66666666666666,7.142857142857143,-14.28571428571429,False,Tuesday,1,19,2026-05
2026-04-06,Brighthouse Group,146,122,0.8502,238.26,83.56164383561644,146.0,,False,Monday,0,15,2026-04
2026-04-07,Brighthouse Group,298,140,0.9719,848.46,46.97986577181208,222.0,,False,Tuesday,1,15,2026-04
2026-04-08,Brighthouse Group,342,263,0.9209,1229.41,76.90058479532163,262.0,,False,Wednesday,2,15,2026-04
2026-04-09,Brighthouse Group,195,115,0.9587,1699.83,58.97435897435898,245.25,,True,Thursday,3,15,2026-04
2026-04-10,Brighthouse Group,326,223,0.9852,531.08,68.40490797546013,261.4,,False,Friday,4,15,2026-04
2026-04-11,Brighthouse Group,87,68,0.7627,1576.35,78.16091954022988,232.33333333333334,,True,Saturday,5,15,2026-04
2026-04-12,Brighthouse Group,20,16,0.7,1491.21,80.0,202.0,,True,Sunday,6,15,2026-04
2026-04-13,Brighthouse Group,332,208,0.9662,131.78,62.65060240963856,228.57142857142858,127.39726027397262,False,Monday,0,16,2026-04
2026-04-14,Brighthouse Group,225,204,0.8969,1087.16,90.66666666666666,218.14285714285714,-24.496644295302016,False,Tuesday,1,16,2026-04
2026-04-15,Brighthouse Group,266,234,0.7834,1100.9,87.96992481203007,207.28571428571428,-22.22222222222222,False,Wednesday,2,16,2026-04
2026-04-16,Brighthouse Group,87,46,0.6681,324.15,52.87356321839081,191.85714285714286,-55.38461538461539,False,Thursday,3,16,2026-04
2026-04-17,Brighthouse Group,191,131,0.9074,795.94,68.58638743455498,172.57142857142858,-41.41104294478528,False,Friday,4,16,2026-04
2026-04-18,Brighthouse Group,122,88,0.9157,1571.1,72.1311475409836,177.57142857142858,40.22988505747127,True,Saturday,5,16,2026-04
2026-04-19,Brighthouse Group,173,129,0.8283,734.42,74.56647398843931,199.42857142857142,765.0,False,Sunday,6,16,2026-04
2026-04-20,Brighthouse Group,139,127,0.8621,499.53,91.36690647482014,171.85714285714286,-58.13253012048193,False,Monday,0,17,2026-04
2026-04-21,Brighthouse Group,222,157,0.9299,486.34,70.72072072072072,171.42857142857142,-1.3333333333333308,False,Tuesday,1,17,2026-04
2026-04-22,Brighthouse Group,261,133,0.8752,1749.72,50.95785440613027,170.71428571428572,-1.8796992481203034,True,Wednesday,2,17,2026-04
2026-04-23,Brighthouse Group,181,136,0.7009,385.49,75.13812154696133,184.14285714285714,108.04597701149423,False,Thursday,3,17,2026-04
2026-04-24,Brighthouse Group,267,176,0.8152,568.04,65.91760299625467,195.0,39.79057591623037,False,Friday,4,17,2026-04
2026-04-25,Brighthouse Group,152,106,0.8006,1226.81,69.73684210526315,199.28571428571428,24.590163934426236,False,Saturday,5,17,2026-04
2026-04-26,Brighthouse Group,134,77,0.8264,138.07,57.46268656716418,193.71428571428572,-22.543352601156073,False,Sunday,6,17,2026-04
2026-04-27,Brighthouse Group,248,195,0.6781,1171.43,78.62903225806451,209.28571428571428,78.41726618705036,False,Monday,0,18,2026-04
2026-04-28,Brighthouse Group,241,200,0.7041,1556.25,82.98755186721992,212.0,8.558558558558559,True,Tuesday,1,18,2026-04
2026-04-29,Brighthouse Group,172,93,0.7578,716.68,54.06976744186046,199.28571428571428,-34.099616858237546,False,Wednesday,2,18,2026-04
2026-04-30,Brighthouse Group,148,105,0.9784,1696.87,70.94594594594594,194.57142857142858,-18.232044198895025,True,Thursday,3,18,2026-04
2026-05-01,Brighthouse Group,351,213,0.884,1642.06,60.68376068376068,206.57142857142858,31.46067415730338,True,Friday,4,18,2026-05
2026-05-02,Brighthouse Group,74,42,0.7812,1584.42,56.75675675675676,195.42857142857142,-51.315789473684205,True,Saturday,5,18,2026-05
2026-05-03,Brighthouse Group,97,75,0.7757,1528.66,77.31958762886599,190.14285714285714,-27.611940298507463,True,Sunday,6,18,2026-05
2026-05-04,Brighthouse Group,233,172,0.8075,263.18,73.8197424892704,188.0,-6.048387096774189,False,Monday,0,19,2026-05
2026-05-05,Brighthouse Group,272,223,0.818,1416.77,81.98529411764706,192.42857142857142,12.863070539419086,True,Tuesday,1,19,2026-05
2026-04-06,Cascade Analytics,307,261,0.8386,659.36,85.01628664495115,307.0,,False,Monday,0,15,2026-04
2026-04-07,Cascade Analytics,225,155,0.891,1429.41,68.88888888888889,266.0,,True,Tuesday,1,15,2026-04
2026-04-08,Cascade Analytics,392,227,0.7953,562.38,57.90816326530612,308.0,,False,Wednesday,2,15,2026-04
2026-04-09,Cascade Analytics,306,180,0.8545,1420.96,58.82352941176471,307.5,,True,Thursday,3,15,2026-04
2026-04-10,Cascade Analytics,257,120,0.7515,729.69,46.69260700389105,297.4,,False,Friday,4,15,2026-04
2026-04-11,Cascade Analytics,68,52,0.7912,961.5,76.47058823529412,259.1666666666667,,False,Saturday,5,15,2026-04
2026-04-12,Cascade Analytics,83,40,0.7284,268.44,48.19277108433735,234.0,,False,Sunday,6,15,2026-04
2026-04-13,Cascade Analytics,195,162,0.7522,1459.83,83.07692307692308,218.0,-36.48208469055375,True,Monday,0,16,2026-04
2026-04-14,Cascade Analytics,227,191,0.752,1579.58,84.14096916299559,218.28571428571428,0.8888888888888946,True,Tuesday,1,16,2026-04
2026-04-15,Cascade Analytics,330,244,0.8794,1704.35,73.93939393939394,209.42857142857142,-15.816326530612246,True,Wednesday,2,16,2026-04
2026-04-16,Cascade Analytics,171,113,0.6699,914.53,66.08187134502924,190.14285714285714,-44.11764705882353,False,Thursday,3,16,2026-04
2026-04-17,Cascade Analytics,248,124,0.9639,1364.32,50.0,188.85714285714286,-3.5019455252918275,True,Friday,4,16,2026-04
2026-04-18,Cascade Analytics,151,82,0.8122,283.95,54.3046357615894,200.71428571428572,122.05882352941177,False,Saturday,5,16,2026-04
2026-04-19,Cascade Analytics,151,137,0.9703,920.53,90.72847682119205,210.42857142857142,81.92771084337349,False,Sunday,6,16,2026-04
2026-04-20,Cascade Analytics,297,152,0.8762,218.08,51.178451178451176,225.0,52.3076923076923,False,Monday,0,17,2026-04
2026-04-21,Cascade Analytics,415,373,0.7927,332.28,89.87951807228916,251.85714285714286,82.81938325991189,False,Tuesday,1,17,2026-04
2026-04-22,Cascade Analytics,361,312,0.7444,653.23,86.42659279778393,256.2857142857143,9.393939393939398,False,Wednesday,2,17,2026-04
2026-04-23,Cascade Analytics,240,114,0.7709,655.85,47.5,266.14285714285717,40.35087719298245,False,Thursday,3,17,2026-04
2026-04-24,Cascade Analytics,328,257,0.9759,886.04,78.35365853658537,277.57142857142856,32.258064516129025,False,Friday,4,17,2026-04
2026-04-25,Cascade Analytics,106,59,0.9668,1430.39,55.660377358490564,271.14285714285717,-29.801324503311257,True,Saturday,5,17,2026-04
2026-04-26,Cascade Analytics,114,54,0.9239,432.75,47.368421052631575,265.85714285714283,-24.50331125827815,False,Sunday,6,17,2026-04
2026-04-27,Cascade Analytics,201,180,0.9494,600.45,89.55223880597015,252.14285714285714,-32.32323232323232,False,Monday,0,18,2026-04
2026-04-28,Cascade Analytics,309,247,0.7315,794.55,79.93527508090615,237.0,-25.542168674698797,False,Tuesday,1,18,2026-04
2026-04-29,Cascade Analytics,393,310,0.659,487.8,78.88040712468194,241.57142857142858,8.864265927977844,False,Wednesday,2,18,2026-04
2026-04-30,Cascade Analytics,216,173,0.7199,348.77,80.0925925925926,238.14285714285714,-9.999999999999998,False,Thursday,3,18,2026-04
2026-05-01,Cascade Analytics,355,249,0.9581,914.43,70.14084507042253,242.0,8.231707317073166,False,Friday,4,18,2026-05
2026-05-02,Cascade Analytics,82,75,0.8161,87.04,91.46341463414635,238.57142857142858,-22.64150943396226,False,Saturday,5,18,2026-05
2026-05-03,Cascade Analytics,129,88,0.6609,568.94,68.21705426356588,240.71428571428572,13.157894736842103,False,Sunday,6,18,2026-05
2026-05-04,Cascade Analytics,280,144,0.8828,674.34,51.42857142857142,252.0,39.303482587064686,False,Monday,0,19,2026-05
2026-05-05,Cascade Analytics,231,118,0.7118,1336.9,51.082251082251084,240.85714285714286,-25.24271844660194,True,Tuesday,1,19,2026-05
2026-04-06,Clearpath Advisors,273,185,0.6876,1629.8,67.76556776556777,273.0,,True,Monday,0,15,2026-04
2026-04-07,Clearpath Advisors,205,148,0.7154,947.17,72.1951219512195,239.0,,False,Tuesday,1,15,2026-04
2026-04-08,Clearpath Advisors,136,122,0.7119,1640.29,89.70588235294117,204.66666666666666,,True,Wednesday,2,15,2026-04
2026-04-09,Clearpath Advisors,308,264,0.7252,128.73,85.71428571428571,230.5,,False,Thursday,3,15,2026-04
2026-04-10,Clearpath Advisors,199,159,0.9565,361.17,79.89949748743719,224.2,,False,Friday,4,15,2026-04
2026-04-11,Clearpath Advisors,57,51,0.9353,1168.41,89.47368421052632,196.33333333333334,,False,Saturday,5,15,2026-04
